subj.num,secs.since.peak,avg.signal,sd.signal,mean,sd,z
8,0,2.00307326,0.204451991,0.153964,1.222439,1.512639289
8,0.1,0.736216147,0.37381509,0.153964,1.222439,0.476303641
8,0.2,-0.26071692,0.229624221,0.153964,1.222439,-0.339224223
8,0.3,-0.720213489,0.182796513,0.153964,1.222439,-0.715109293
8,0.4,-0.884779939,0.177141189,0.153964,1.222439,-0.849730693
8,0.5,-0.871661201,0.193434172,0.153964,1.222439,-0.838999084
8,0.6,-0.84692258,0.151490604,0.153964,1.222439,-0.818761983
8,0.7,-0.578307204,0.218041637,0.153964,1.222439,-0.59902474
8,0.8,0.14473165,0.23370974,0.153964,1.222439,-0.007552401
8,0.9,1.091171047,0.255769493,0.153964,1.222439,0.766669787
8,1,1.881008455,0.27839934,0.153964,1.222439,1.412785795
